label,count
cs.LG,205481
hep-ph,155278
cs.CV,147700
hep-th,144232
quant-ph,140764
cs.AI,133300
gr-qc,95845
cond-mat.mtrl-sci,85759
astro-ph,84365
cs.CL,83057
cond-mat.mes-hall,79974
math-ph,70975
math.MP,70975
cond-mat.str-el,65373
cond-mat.stat-mech,64402
math.CO,61532
stat.ML,61036
astro-ph.CO,60644
astro-ph.GA,60619
math.AP,57841
astro-ph.SR,54757
astro-ph.HE,54260
math.PR,51566
nucl-th,49353
math.OC,47964
hep-ex,47408
math.AG,46982
physics.optics,44061
cs.IT,42910
math.IT,42910
cs.RO,40521
math.NT,38475
math.DG,37616
cond-mat.supr-con,37460
math.NA,37365
cs.CR,36956
cond-mat.soft,35666
cs.SY,34980
math.DS,33703
eess.SP,30765
eess.SY,28390
math.FA,28203
astro-ph.IM,27920
stat.ME,27772
astro-ph.EP,27481
physics.flu-dyn,26795
cs.NA,26549
eess.IV,24352
hep-lat,23978
math.RT,23675
cs.HC,23116
cs.DS,22563
nucl-ex,22503
physics.comp-ph,22104
cs.DC,22089
cs.CY,21801
stat.TH,21798
math.ST,21797
cs.NI,21476
physics.chem-ph,21402
cond-mat.dis-nn,20883
math.GT,20220
math.GR,20115
cs.SE,20050
physics.soc-ph,19749
math.CA,19698
cs.IR,19466
physics.ins-det,19151
cond-mat.quant-gas,19029
physics.atom-ph,18888
cs.SI,18454
physics.app-ph,18413
stat.AP,18265
eess.AS,16832
math.QA,16529
cs.SD,16102
math.RA,15726
physics.plasm-ph,15550
math.CV,15262
cs.LO,15140
math.AT,14169
physics.bio-ph,13923
cs.NE,13808
nlin.CD,13538
cond-mat.other,13474
cs.DM,12355
math.LO,12277
math.AC,11596
cs.GT,11488
cond-mat,11406
math.OA,11103
math.MG,10299
q-bio.QM,10227
nlin.SI,10210
q-bio.PE,10085
cs.CC,10048
q-bio.NC,9428
physics.data-an,9390
cs.MA,9187
cs.DB,9024
math.SP,8760
physics.gen-ph,8632
nlin.PS,8504
math.SG,8027
cs.CE,7991
stat.CO,7930
math.CT,7911
cs.PL,7603
physics.class-ph,7504
cs.MM,7380
physics.med-ph,7038
cs.GR,6976
physics.acc-ph,6957
physics.geo-ph,6805
physics.ao-ph,6552
nlin.AO,6383
cs.CG,6292
cs.AR,6264
physics.space-ph,5951
cs.ET,5515
q-fin.EC,5441
math.KT,5238
q-bio.BM,5222
econ.GN,4975
cs.DL,4701
cs.FL,4663
math.GN,4608
physics.hist-ph,4450
econ.EM,4132
cs.PF,4050
math.GM,3699
physics.ed-ph,3592
q-fin.ST,3321
math.HO,3309
q-bio.MN,3302
q-bio.GN,3020
econ.TH,3017
q-fin.MF,2523
q-fin.CP,2483
cs.SC,2445
physics.atm-clus,2383
q-fin.GN,2322
q-fin.RM,2252
physics.pop-ph,2103
q-bio.TO,2095
cs.MS,2027
q-bio.CB,1935
chao-dyn,1913
q-fin.PM,1833
q-fin.PR,1728
q-fin.TR,1723
q-bio.SC,1442
nlin.CG,1329
stat.OT,1285
q-alg,1284
q-bio.OT,1258
alg-geom,1147
solv-int,1115
q-bio,1080
cs.OS,1031
cmp-lg,723
dg-ga,591
patt-sol,517
adap-org,457
cs.OH,396
funct-an,337
mtrl-th,209
chem-ph,197
comp-gas,180
supr-con,136
cs.GL,122
atom-ph,105
acc-phys,40
plasm-ph,35
ao-sci,13
bayes-an,11
