label,count
Pure Mathematics,397812
Condensed Matter Physics,331128
High Energy Physics,307167
Astrophysics,303932
Machine Learning,294782
Physics Other,174421
CS Theory and Algorithms,160954
Computer Vision,147700
Quantum Physics,140764
Statistics and Probability,110125
Signal Processing and Control,102971
Gravitational Physics,95845
Human Computer Interaction,95232
Applied and Interdisciplinary Physics,83905
Natural Language Processing,83057
Optimization and Numerical Methods,82583
Mathematical Physics,70975
Nuclear Physics,61752
Computer Systems and Networking,58607
Quantitative Biology,43168
Information Theory,42910
Robotics,40521
Nonlinear Dynamics,37078
Security and Cryptography,36956
Quantitative Finance and Economics,25765
